global_state,device_index,device_id,bus_id,local_state,state_name,A_index,status
71,4,IBR6,6,19,gfl_xi_Q,34,ACTIVE_IN_A
72,4,IBR6,6,20,gfl_xi_id,35,ACTIVE_IN_A
73,4,IBR6,6,21,gfl_xi_iq,36,ACTIVE_IN_A
74,4,IBR6,6,22,gfl_i_d,37,ACTIVE_IN_A
75,4,IBR6,6,23,gfl_i_q,38,ACTIVE_IN_A
76,5,IBR8,8,1,gfm_omega_m,NaN,FROZEN_NOT_IN_A
77,5,IBR8,8,2,gfm_delta_IT,NaN,FROZEN_NOT_IN_A
78,5,IBR8,8,3,gfm_x_washout,NaN,FROZEN_NOT_IN_A
79,5,IBR8,8,4,gfm_x_Eint,NaN,FROZEN_NOT_IN_A
80,5,IBR8,8,5,gfm_delta_PLL,NaN,FROZEN_NOT_IN_A
81,5,IBR8,8,6,gfm_x_PLL_int,NaN,FROZEN_NOT_IN_A
82,5,IBR8,8,7,gfm_Pinv_f,NaN,FROZEN_NOT_IN_A
83,5,IBR8,8,8,gfm_Idinv_f,NaN,FROZEN_NOT_IN_A
84,5,IBR8,8,9,gfm_Qinv_f,NaN,FROZEN_NOT_IN_A
85,5,IBR8,8,10,gfm_Vinv_f,NaN,FROZEN_NOT_IN_A
86,5,IBR8,8,11,gfm_Iqinv_f,NaN,FROZEN_NOT_IN_A
87,5,IBR8,8,12,gfm_delta_ITmax,NaN,FROZEN_NOT_IN_A
88,5,IBR8,8,13,gfm_delta_ITmin,NaN,FROZEN_NOT_IN_A
89,5,IBR8,8,14,gfl_delta_PLL,39,ACTIVE_IN_A
90,5,IBR8,8,15,gfl_xi_PLL,40,ACTIVE_IN_A
91,5,IBR8,8,16,gfl_P_f,41,ACTIVE_IN_A
92,5,IBR8,8,17,gfl_Q_f,42,ACTIVE_IN_A
93,5,IBR8,8,18,gfl_xi_P,43,ACTIVE_IN_A
94,5,IBR8,8,19,gfl_xi_Q,44,ACTIVE_IN_A
95,5,IBR8,8,20,gfl_xi_id,45,ACTIVE_IN_A
96,5,IBR8,8,21,gfl_xi_iq,46,ACTIVE_IN_A
97,5,IBR8,8,22,gfl_i_d,47,ACTIVE_IN_A
98,5,IBR8,8,23,gfl_i_q,48,ACTIVE_IN_A
